,"pair","place","price","quantity","total_paid","fee_amount","fee_type"
0,"BNBBRL","BUY",3370.15,"REMOVED","REMOVED","REMOVED","BNB"
1,"BNBBRL","BUY",1650.37,"REMOVED","REMOVED","REMOVED","BNB"
2,"BNBBRL","BUY",1668.6,"REMOVED","REMOVED","REMOVED","BNB"
3,"BNBBRL","BUY",1968.53,"REMOVED","REMOVED","REMOVED","BNB"
4,"BNBBRL","SELL",2017.77,"REMOVED","REMOVED","REMOVED","BRL"
5,"BNBBRL","SELL",2017.77,"REMOVED","REMOVED","REMOVED","BRL"
6,"BNBBRL","SELL",2233.19,"REMOVED","REMOVED","REMOVED","BRL"
7,"BNBBRL","BUY",3411,"REMOVED","REMOVED","REMOVED","BNB"
8,"BNBUSDT","SELL",609.5,"REMOVED","REMOVED","REMOVED","BNB"
9,"BNBUSDT","SELL",675.03,"REMOVED","REMOVED","REMOVED","BNB"
10,"BNBUSDT","SELL",626.3,"REMOVED","REMOVED","REMOVED","BNB"
11,"BNBUSDT","BUY",602.1,"REMOVED","REMOVED","REMOVED","BNB"
12,"BNBBUSD","SELL",655,"REMOVED","REMOVED","REMOVED","BNB"
13,"BNBBUSD","BUY",620,"REMOVED","REMOVED","REMOVED","BNB"
14,"BNBBUSD","BUY",643,"REMOVED","REMOVED","REMOVED","BNB"
15,"USDTBRL","SELL",5.185,"REMOVED","REMOVED","REMOVED","BRL"
16,"USDTBRL","SELL",5.185,"REMOVED","REMOVED","REMOVED","BNB"
17,"USDTBRL","SELL",5.185,"REMOVED","REMOVED","REMOVED","BRL"
18,"USDTBRL","SELL",5.185,"REMOVED","REMOVED","REMOVED","BNB"
19,"USDTBRL","BUY",5.115,"REMOVED","REMOVED","REMOVED","USDT"
20,"USDTBRL","BUY",5.115,"REMOVED","REMOVED","REMOVED","USDT"
21,"USDTBRL","SELL",5.107,"REMOVED","REMOVED","REMOVED","BRL"
22,"USDTBRL","SELL",5.106,"REMOVED","REMOVED","REMOVED","BRL"
23,"USDTBRL","SELL",5.198,"REMOVED","REMOVED","REMOVED","BRL"
24,"USDTBRL","BUY",5.192,"REMOVED","REMOVED","REMOVED","USDT"
25,"USDTBRL","SELL",5.322,"REMOVED","REMOVED","REMOVED","BRL"
26,"TRXUSDT","BUY",0.1088,"REMOVED","REMOVED","REMOVED","TRX"
27,"ETCBRL","BUY",267,"REMOVED","REMOVED","REMOVED","BNB"
28,"ENJBRL","BUY",12.5,"REMOVED","REMOVED","REMOVED","BNB"
29,"HOTBRL","BUY",0.0861,"REMOVED","REMOVED","REMOVED","BNB"
30,"BTTBRL","BUY",0.03931,"REMOVED","REMOVED","REMOVED","BNB"
31,"BTTUSDT","SELL",0.0099981,"REMOVED","REMOVED","REMOVED","USDT"
32,"BTTBUSD","BUY",0.00955,"REMOVED","REMOVED","REMOVED","BTT"
33,"CHZBRL","BUY",2.8,"REMOVED","REMOVED","REMOVED","BNB"
34,"WINBRL","BUY",0.0086,"REMOVED","REMOVED","REMOVED","WIN"
35,"BUSDBRL","SELL",5.469,"REMOVED","REMOVED","REMOVED","BNB"
36,"BUSDBRL","SELL",5.469,"REMOVED","REMOVED","REMOVED","BNB"
37,"BUSDBRL","SELL",5.3,"REMOVED","REMOVED","REMOVED","BNB"
38,"BTCBRL","BUY",311006,"REMOVED","REMOVED","REMOVED","BTC"
39,"BTCBRL","BUY",298000,"REMOVED","REMOVED","REMOVED","BNB"
40,"BTCBRL","BUY",307259,"REMOVED","REMOVED","REMOVED","BTC"
41,"BTCBRL","SELL",276000,"REMOVED","REMOVED","REMOVED","BRL"
