,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-10-23 08:00:00,61064.9,98.95607,61069.0,61266.91213989258,60871.08786010742,1000000,10,1610649.0,NoTrade
2021-10-23 09:00:00,60649.76,159.47624,61013.168,61332.12045288086,60694.21548461914,999393.5024,10.01,1606497.6,OpenBUY
2021-10-23 10:00:00,60121.03,322.54095,60914.0,61559.08190917969,60268.91809082031,999393.5024,10.01,1601205.0126999998,NoTrade
2021-10-23 11:00:00,61540.0,374.97842,60960.445,61710.40216064453,60210.48846435547,999393.5024,10.01,1615408.9024,NoTrade
2021-10-23 12:00:00,61534.92,410.32355,60994.984,61815.63146972656,60174.33728027344,999393.5024,10.01,1615358.0516,NoTrade
2021-10-23 13:00:00,61329.42,421.57516,61014.92,61858.072204589844,60171.771545410156,999393.5024,10.01,1613300.9966,NoTrade
2021-10-23 14:00:00,61027.75,421.41885,61020.055,61862.89239501953,60177.21697998047,1000003.7799,10.0,1610281.2799,CloseBUY
2021-10-23 15:00:00,61439.85,441.7133,61065.293,61948.71954345703,60181.86639404297,1000003.7799,10.0,1614402.2799,NoTrade
2021-10-23 16:00:00,61128.56,437.01007,61092.91,61966.93029785156,60218.89001464844,1000003.7799,10.0,1611289.3799,NoTrade
2021-10-23 17:00:00,61231.12,438.94415,61111.383,61989.27111816406,60233.49450683594,1000003.7799,10.0,1612314.9799000002,NoTrade
2021-10-23 18:00:00,61308.16,409.8121,61184.535,62004.15936279297,60364.91094970703,1000003.7799,10.0,1613085.3799,NoTrade
2021-10-23 19:00:00,61008.4,189.73843,61283.133,61662.60968017578,60903.65594482422,1000003.7799,10.0,1610087.7799,NoTrade
2021-10-23 20:00:00,61117.41,171.80278,61236.18,61579.785247802734,60892.574127197266,1000003.7799,10.0,1611177.8799,NoTrade
2021-10-23 21:00:00,61035.67,144.8774,61180.707,61470.461822509766,60890.952239990234,1000003.7799,10.0,1610360.4799,NoTrade
2021-10-23 22:00:00,61012.06,142.99918,61145.445,61431.44366455078,60859.44696044922,1000003.7799,10.0,1610124.3799,NoTrade
2021-10-23 23:00:00,61279.94,141.89616,61173.465,61457.25717163086,60889.67251586914,1000003.7799,10.0,1612803.1798999999,NoTrade
2021-10-24 00:00:00,61087.09,107.43566,61134.266,61349.136947631836,60919.394302368164,1000003.7799,10.0,1610874.6798999999,NoTrade
2021-10-24 01:00:00,60994.06,116.18844,61119.33,61351.705001831055,60886.951248168945,1000003.7799,10.0,1609944.3799,NoTrade
2021-10-24 02:00:00,61173.6,111.34409,61112.938,61335.62568664551,60890.24931335449,1000003.7799,10.0,1611739.7799,NoTrade
2021-10-24 03:00:00,61220.76,96.74831,61103.223,61296.71926879883,60909.72604370117,1000003.7799,10.0,1612211.3799,NoTrade
2021-10-24 04:00:00,60988.22,99.12454,61100.973,61299.221740722656,60902.723571777344,1000003.7799,10.0,1609885.9799,NoTrade
2021-10-24 05:00:00,60902.17,116.68473,61077.062,61310.43196105957,60843.69303894043,1000003.7799,10.0,1609025.4799,NoTrade
2021-10-24 06:00:00,60697.9,167.30353,61039.535,61374.14221191406,60704.92810058594,999396.8008999999,10.01,1606982.7799,OpenBUY
2021-10-24 07:00:00,60692.14,200.1303,61003.984,61404.24496459961,60603.72378540039,999396.8008999999,10.01,1606925.1223,NoTrade
2021-10-24 08:00:00,60525.09,223.69363,60920.11,61367.496643066406,60472.722106933594,999396.8008999999,10.01,1605252.9518,NoTrade
2021-10-24 09:00:00,60792.87,218.33752,60887.42,61324.096923828125,60450.746826171875,999396.8008999999,10.01,1607933.4296,NoTrade
2021-10-24 10:00:00,60929.55,215.76294,60880.258,61311.78369140625,60448.73193359375,1000006.0963999999,10.0,1609301.5964,CloseBUY
2021-10-24 11:00:00,60287.03,257.66318,60781.75,61297.07635498047,60266.42364501953,1000006.0963999999,10.0,1602876.3964,NoTrade
2021-10-24 12:00:00,60392.97,230.88997,60689.77,61151.54946899414,60227.98959350586,1000006.0963999999,10.0,1603935.7963999999,NoTrade
2021-10-24 13:00:00,60522.82,209.37132,60638.062,61056.80514526367,60219.31985473633,1000006.0963999999,10.0,1605234.2963999999,NoTrade
2021-10-24 14:00:00,60105.75,244.41542,60549.57,61038.40115356445,60060.73947143555,1000006.0963999999,10.0,1601063.5964,NoTrade
2021-10-24 15:00:00,59864.54,317.58624,60456.973,61092.14514160156,59821.80017089844,1000006.0963999999,10.0,1598651.4964,NoTrade
2021-10-24 16:00:00,60363.06,307.17944,60420.41,61034.76904296875,59806.05126953125,1000006.0963999999,10.0,1603636.6963999998,NoTrade
2021-10-24 17:00:00,60317.45,306.24698,60397.332,61009.82598876953,59784.83807373047,1000006.0963999999,10.0,1603180.5964,NoTrade
2021-10-24 18:00:00,60116.57,281.98663,60322.195,60886.16857910156,59758.22204589844,1000006.0963999999,10.0,1601171.7963999999,NoTrade
2021-10-24 19:00:00,60642.07,221.08408,60290.25,60732.41815185547,59848.08184814453,1000006.0963999999,10.0,1606426.7963999999,NoTrade
2021-10-24 20:00:00,61166.19,352.96912,60387.938,61093.875732421875,59681.999267578125,1000617.7582999999,9.99,1611667.9964,OopenSELL
2021-10-24 21:00:00,60967.88,397.33408,60451.812,61246.48065185547,59657.14434814453,1000617.7582999999,9.99,1609686.8794999998,NoTrade
2021-10-24 22:00:00,60920.11,423.9484,60495.957,61343.85382080078,59648.06024169922,1000617.7582999999,9.99,1609209.6571999998,NoTrade
2021-10-24 23:00:00,60858.0,412.7856,60579.543,61405.114196777344,59753.971740722656,1000617.7582999999,9.99,1608589.1782999998,NoTrade
2021-10-25 00:00:00,61823.99,488.11942,60797.258,61773.496643066406,59821.018981933594,1000617.7582999999,9.99,1618239.4183999998,NoTrade
2021-10-25 01:00:00,61731.1,539.54016,60949.266,62028.345947265625,59870.185302734375,1000617.7582999999,9.99,1617311.4472999999,NoTrade
2021-10-25 02:00:00,61945.89,569.53845,61130.203,62269.280029296875,59991.126220703125,1000617.7582999999,9.99,1619457.1993999998,NoTrade
2021-10-25 03:00:00,62077.35,512.2751,61348.062,62372.61267089844,60323.51232910156,1000617.7582999999,9.99,1620770.4847999997,NoTrade
2021-10-25 04:00:00,62062.62,488.7372,61505.902,62483.37677001953,60528.42791748047,1000617.7582999999,9.99,1620623.3320999998,NoTrade
2021-10-25 05:00:00,61836.31,482.31436,61580.36,62544.98809814453,60615.73065185547,1000617.7582999999,9.99,1618362.4951999998,NoTrade
2021-10-25 06:00:00,62016.4,445.53134,61696.86,62587.92205810547,60805.79669189453,1000617.7582999999,9.99,1620161.5943,NoTrade
2021-10-25 07:00:00,62651.3,442.35297,61889.215,62773.92077636719,61004.50891113281,1000617.7582999999,9.99,1626504.2453,NoTrade
2021-10-25 08:00:00,62713.36,332.39868,62095.367,62760.16455078125,61430.56982421875,1000617.7582999999,9.99,1627124.2247,NoTrade
2021-10-25 09:00:00,62730.68,370.13947,62196.11,62936.38830566406,61455.83044433594,1000617.7582999999,9.99,1627297.2514999998,NoTrade
2021-10-25 10:00:00,62772.89,369.51553,62311.867,63050.89825439453,61572.83612060547,1000617.7582999999,9.99,1627718.9293999998,NoTrade
2021-10-25 11:00:00,62755.92,368.06042,62401.867,63137.988037109375,61665.746337890625,1000617.7582999999,9.99,1627549.3991,NoTrade
2021-10-25 12:00:00,62724.31,360.76532,62473.75,63195.28063964844,61752.21936035156,1000617.7582999999,9.99,1627233.6152,NoTrade
2021-10-25 13:00:00,63229.93,397.59473,62603.457,63398.646484375,61808.267578125,1000617.7582999999,9.99,1632284.7589999998,NoTrade
2021-10-25 14:00:00,63329.42,351.74768,62769.36,63472.854736328125,62065.864013671875,1000617.7582999999,9.99,1633278.6640999997,NoTrade
2021-10-25 15:00:00,63591.72,324.40262,62944.39,63593.195861816406,62295.585388183594,1000617.7582999999,9.99,1635899.0411,NoTrade
