,current_price,std_dev,average,upper,lower,BUSD,BTC,total_balance,action
2021-10-23 01:35:00,60914.63,230.26662,60912.695,61373.22854614258,60452.16207885742,1000000,10,1609146.2999999998,NoTrade
2021-10-23 01:40:00,60973.39,217.23547,60932.492,61366.963134765625,60498.021240234375,1000000,10,1609733.9,NoTrade
2021-10-23 01:45:00,60883.79,194.41655,60951.45,61340.282318115234,60562.616119384766,1000000,10,1608837.9,NoTrade
2021-10-23 01:50:00,60876.0,172.2612,60967.85,61312.373962402344,60623.329162597656,1000000,10,1608760.0,NoTrade
2021-10-23 01:55:00,61013.52,120.77027,60996.918,61238.45851135254,60755.37742614746,1000000,10,1610135.2,NoTrade
2021-10-23 02:00:00,61108.0,104.91195,61016.3,61226.12467956543,60806.47688293457,1000000,10,1611080.0,NoTrade
2021-10-23 02:05:00,61170.81,108.40179,61027.977,61244.7801361084,60811.1729888916,1000000,10,1611708.1,NoTrade
2021-10-23 02:10:00,61108.25,105.44955,61038.48,61249.37956237793,60827.58137512207,1000000,10,1611082.5,NoTrade
2021-10-23 02:15:00,61137.16,95.9012,61053.836,61245.63833618164,60862.03353881836,1000000,10,1611371.6,NoTrade
2021-10-23 02:20:00,61083.62,93.6228,61060.01,61247.25732421875,60872.76611328125,1000000,10,1610836.2000000002,NoTrade
2021-10-23 02:25:00,61010.0,94.15077,61058.605,61246.90701293945,60870.30392456055,1000000,10,1610100.0,NoTrade
2021-10-23 02:30:00,61076.83,94.22913,61059.7,61248.157485961914,60871.240951538086,1000000,10,1610768.3,NoTrade
2021-10-23 02:35:00,61025.71,92.02156,61053.367,61237.41030883789,60869.32406616211,1000000,10,1610257.1,NoTrade
2021-10-23 02:40:00,61004.01,91.760666,61048.227,61231.74789428711,60864.70523071289,1000000,10,1610040.1,NoTrade
2021-10-23 02:45:00,61105.47,90.62258,61046.79,61228.03422546387,60865.54389953613,1000000,10,1611054.7,NoTrade
2021-10-23 02:50:00,61103.03,83.17685,61041.176,61207.52947998047,60874.82208251953,1000000,10,1611030.3,NoTrade
2021-10-23 02:55:00,61122.04,84.481125,61042.918,61211.88021850586,60873.95571899414,1000000,10,1611220.4,NoTrade
2021-10-23 03:00:00,61139.73,85.86183,61044.363,61216.08694458008,60872.63961791992,1000000,10,1611397.3,NoTrade
2021-10-23 03:05:00,61101.24,86.44386,61045.47,61218.35647583008,60872.58102416992,1000000,10,1611012.4,NoTrade
2021-10-23 03:10:00,61099.25,84.4253,61052.824,61221.67481994629,60883.97361755371,1000000,10,1610992.5,NoTrade
2021-10-23 03:15:00,61162.0,81.33714,61065.195,61227.86959838867,60902.52102661133,1000000,10,1611620.0,NoTrade
2021-10-23 03:20:00,61046.68,78.72776,61068.855,61226.31098937988,60911.39994812012,1000000,10,1610466.8,NoTrade
2021-10-23 03:25:00,61087.54,66.32663,61079.043,61211.696228027344,60946.389709472656,1000000,10,1610875.4,NoTrade
2021-10-23 03:30:00,61083.64,47.234962,61089.426,61183.89570617676,60994.95585632324,1000000,10,1610836.4,NoTrade
2021-10-23 03:35:00,61100.44,43.934353,61093.773,61181.64214324951,61005.90473175049,1000000,10,1611004.4,NoTrade
2021-10-23 03:40:00,61141.27,45.05705,61095.445,61185.559410095215,61005.331214904785,1000000,10,1611412.7,NoTrade
2021-10-23 03:45:00,61134.36,42.644062,61093.613,61178.90140533447,61008.32515716553,1000000,10,1611343.6,NoTrade
2021-10-23 03:50:00,61200.0,48.504272,61098.207,61195.215576171875,61001.198486328125,1000612.0,9.99,1612000.0,OopenSELL
2021-10-23 03:55:00,61224.03,55.22291,61102.543,61212.98879241943,60992.09714508057,1000612.0,9.99,1612240.0597,NoTrade
2021-10-23 04:00:00,61336.07,74.82682,61115.168,61264.82160949707,60965.51432800293,1000612.0,9.99,1613359.3393,NoTrade
2021-10-23 04:05:00,61458.07,102.09439,61137.574,61341.76300048828,60933.38543701172,1000612.0,9.99,1614578.1193,NoTrade
2021-10-23 04:10:00,61490.76,126.67925,61158.27,61411.62803649902,60904.91102600098,1000612.0,9.99,1614904.6924,NoTrade
2021-10-23 04:15:00,61434.14,136.22534,61178.688,61451.13818359375,60906.23681640625,1000612.0,9.99,1614339.0586,NoTrade
2021-10-23 04:20:00,61507.2,147.63031,61203.85,61499.11218261719,60908.59094238281,1000612.0,9.99,1615068.9279999998,NoTrade
2021-10-23 04:25:00,61406.64,152.11925,61218.906,61523.14474487305,60914.66775512695,1000612.0,9.99,1614064.3336,NoTrade
2021-10-23 04:30:00,61280.02,150.25757,61227.758,61528.27294921875,60927.24267578125,999999.1998,10.0,1612799.3997999998,CloseSELL
2021-10-23 04:35:00,61138.16,149.7306,61228.562,61528.0237121582,60929.1012878418,999999.1998,10.0,1611380.7998000002,NoTrade
2021-10-23 04:40:00,61033.97,154.56412,61223.273,61532.40167236328,60914.14520263672,999999.1998,10.0,1610338.8997999998,NoTrade
2021-10-23 04:45:00,61112.23,154.14818,61223.824,61532.12057495117,60915.52786254883,999999.1998,10.0,1611121.4997999999,NoTrade
2021-10-23 04:50:00,61177.26,151.91747,61227.727,61531.56149291992,60923.89163208008,999999.1998,10.0,1611771.7998,NoTrade
2021-10-23 04:55:00,61150.0,152.1993,61227.125,61531.52359008789,60922.72640991211,999999.1998,10.0,1611499.1998,NoTrade
2021-10-23 05:00:00,60942.14,159.90646,61221.9,61541.711364746094,60902.085510253906,999999.1998,10.0,1609420.5998,NoTrade
2021-10-23 05:05:00,60983.15,165.80191,61216.676,61548.27960205078,60885.07196044922,999999.1998,10.0,1609830.6998,NoTrade
2021-10-23 05:10:00,61024.6,168.64543,61213.727,61551.01742553711,60876.43569946289,999999.1998,10.0,1610245.1998,NoTrade
2021-10-23 05:15:00,61074.64,169.60301,61212.438,61551.64352416992,60873.23147583008,999999.1998,10.0,1610745.5998,NoTrade
